"X","Y","D_epicenter(km)","Geo_zone","Footprint(m2)","Num_floors","Construction_year","Building_type","AB 0s","AB -1s","AB 0.05s","AB 0.1s","AB 0.5s","AB 1s","AB 1.5s","AB 2s","AB 3s","AB 4s","Damage_state"
7475953.5,4843622.69515,3.12,"z5",60,1,2001,"bt6.",0.266408,11.7429,0.387197,0.595049,0.234502,0.0754108,0.037322,0.022313,0.0100016,0.00581788,"ds0."
7475422.43,4843786.275,3.25,"z5",42,1,2001,"bt6.",0.263962,11.6507,0.38331,0.589011,0.232773,0.0749273,0.0370925,0.0221742,0.00993952,0.00578145,"ds0."
7475422.43,4843786.275,3.25,"z5",60,1,1990,"bt6.",0.263962,11.6507,0.38331,0.589011,0.232773,0.0749273,0.0370925,0.0221742,0.00993952,0.00578145,"ds0."
7475030.03,4844113.0651,3.25,"z2",38,2,2000,"bt6.",0.25285,13.2253,0.355882,0.533096,0.254359,0.0889388,0.0447048,0.0273768,0.0123721,0.00720421,"ds0."
7476090.54,4843182.82495,3.47,"z8",55,1,1995,"bt6.",0.249946,13.0067,0.351449,0.527249,0.251194,0.0876226,0.0440195,0.0269083,0.0121518,0.00707087,"ds0."
7475563.768,4843340.432,3.55,"z6",54,2,1997,"bt6.",0.251476,12.7377,0.354662,0.53483,0.248368,0.0854523,0.0428031,0.0260298,0.0117315,0.00681754,"ds0."
7475087.385,4843646.4199,3.56,"z5",32,1,1989,"bt6.",0.25795,11.4237,0.373776,0.574202,0.22851,0.073733,0.0365254,0.0218314,0.00978627,0.00569153,"ds0."
7474941.464,4843569.704,3.72,"z5",45,2,2010,"bt6.",0.254766,11.3031,0.368735,0.566371,0.226242,0.0730966,0.0362231,0.0216487,0.00970463,0.00564366,"ds0."
7475397.512,4843241.26,3.72,"z6",65,1,1989,"bt6.",0.248419,12.6033,0.349846,0.527604,0.246057,0.0847502,0.0424619,0.0258136,0.0116328,0.00675842,"ds0."
7475305.244,4843299.736,3.72,"z6",58,1,1988,"bt6.",0.248419,12.6033,0.349846,0.527604,0.246057,0.0847502,0.0424619,0.0258136,0.0116328,0.00675842,"ds0."
7474735.636,4843704.448,3.75,"z5",52,1,2004,"bt6.",0.254163,11.2803,0.367782,0.564891,0.225812,0.0729759,0.0361657,0.0216141,0.00968915,0.00563458,"ds0."
7475085.9,4843384.10505,3.77,"z6",49,1,1988,"bt6.",0.24751,12.5633,0.348415,0.525457,0.245369,0.0845409,0.0423601,0.0257491,0.0116033,0.0067408,"ds0."
7475052.776,4843398.836,3.78,"z6",45,1,2004,"bt6.",0.247328,12.5552,0.348129,0.525027,0.245231,0.0844989,0.0423397,0.0257362,0.0115974,0.00673727,"ds0."
7474647.844,4843713.516,3.81,"z5",62,1,1988,"bt6.",0.252954,11.2344,0.36587,0.56192,0.224948,0.0727333,0.0360505,0.0215445,0.00965804,0.00561634,"ds0."
7474915.108,4843426.192,3.84,"z6",55,2,2001,"bt6.",0.246231,12.5069,0.346404,0.522438,0.244398,0.0842458,0.0422167,0.0256583,0.0115619,0.00671598,"ds0."
7475072.956,4843310.724,3.84,"z8",84,2,1989,"bt6.",0.243446,12.7119,0.341208,0.512003,0.246232,0.0860889,0.0432701,0.0264282,0.0119317,0.00693832,"ds0."
7474214.832,4844130.108,3.86,"z2",50,1,1990,"bt6.",0.242326,12.7447,0.339282,0.508439,0.246322,0.0864449,0.0434847,0.0265928,0.012012,0.00698711,"ds0."
7475422.176,4843057.748,3.86,"z5",52,1,2000,"bt6.",0.251941,11.196,0.36427,0.559435,0.224224,0.07253,0.0359539,0.0214862,0.00963197,0.00560105,"ds0."
7474897.172,4843425.744,3.86,"z6",43,2,1992,"bt6.",0.245864,12.4907,0.345827,0.521572,0.24412,0.0841611,0.0421755,0.0256322,0.01155,0.00670886,"ds0."
7474179.51,4844160.86495,3.87,"z2",50,1,2001,"bt6.",0.242148,12.7366,0.339002,0.508023,0.246186,0.0864023,0.0434639,0.0265794,0.0120059,0.00698341,"ds0."
7474179.51,4844160.86495,3.87,"z2",40,1,1989,"bt6.",0.242148,12.7366,0.339002,0.508023,0.246186,0.0864023,0.0434639,0.0265794,0.0120059,0.00698341,"ds0."
7474697.616,4843582.58,3.87,"z5",54,2,2005,"bt6.",0.251738,11.1883,0.36395,0.558937,0.224079,0.0724892,0.0359345,0.0214745,0.00962674,0.00559799,"ds0."
7474919.144,4843393.008,3.87,"z6",43,2,1996,"bt6.",0.24568,12.4827,0.345538,0.521139,0.24398,0.0841187,0.0421549,0.0256191,0.011544,0.00670529,"ds0."
7474395.864,4843874.98,3.88,"z5",60,1,1995,"bt6.",0.251535,11.1806,0.363629,0.558439,0.223934,0.0724484,0.0359151,0.0214627,0.0096215,0.00559492,"ds0."
7475410.964,4843046.536,3.88,"z5",30,1,2000,"bt6.",0.251535,11.1806,0.363629,0.558439,0.223934,0.0724484,0.0359151,0.0214627,0.0096215,0.00559492,"ds0."
7474236.8,4844066.232,3.88,"z2",45,1,1988,"bt6.",0.241969,12.7284,0.338721,0.507606,0.246049,0.0863598,0.043443,0.0265661,0.0119998,0.00697972,"ds0."
7474585.68,4843653.2351,3.89,"z5",50,1,1990,"bt6.",0.251332,11.1729,0.363308,0.55794,0.223789,0.0724075,0.0358957,0.021451,0.00961626,0.00559185,"ds0."
7474585.68,4843653.2351,3.89,"z5",43,2,1990,"bt6.",0.251332,11.1729,0.363308,0.55794,0.223789,0.0724075,0.0358957,0.021451,0.00961626,0.00559185,"ds0."
7474545.444,4843654.896,3.92,"z5",60,1,1989,"bt6.",0.250721,11.1497,0.362344,0.556443,0.223352,0.0722846,0.0358373,0.0214158,0.00960051,0.00558261,"ds0."
7474415.34,4843763.93485,3.94,"z5",60,1,1990,"bt6.",0.250314,11.1342,0.3617,0.555443,0.22306,0.0722025,0.0357982,0.0213922,0.00958998,0.00557644,"ds0."
7474415.34,4843763.93485,3.94,"z5",65,1,1996,"bt6.",0.250314,11.1342,0.3617,0.555443,0.22306,0.0722025,0.0357982,0.0213922,0.00958998,0.00557644,"ds0."
7474415.34,4843763.93485,3.94,"z5",45,1,1990,"bt6.",0.250314,11.1342,0.3617,0.555443,0.22306,0.0722025,0.0357982,0.0213922,0.00958998,0.00557644,"ds0."
7474886.856,4843315.432,3.95,"z6",30,1,1988,"bt6.",0.244206,12.4177,0.343222,0.517662,0.24286,0.0837776,0.0419891,0.0255142,0.0114961,0.00667663,"ds0."
